id,displayName,class,description,hp,atk,def,skills,trait,isDefault,unlockCondition
Char_Necromancer,네크로맨서,생명력을 다루는 흑마법사. 약화와 도트 데미지에 특화되어 있습니다.,Necromancer,20,0,0,Necro_LifeDrain;Necro_Curse;Necro_Decay;Necro_RaiseDead,Corrosive,0,2층 보스 클리어
Enemy_Gargoyle,가고일,돌로 된 악마 조각상이 움직이는 몬스터.,Warrior,10,0,0,Gargoyle_Smash;Gargoyle_Spike;Gargoyle_StoneArmor;Gargoyle_PoisonGas,Thorns,1,
Enemy_EliteKnight,정예 기사,강화된 갑옷을 입은 기사 몬스터.,Warrior,19,0,0,EliteKnight_Slash;EliteKnight_ShieldBash;EliteKnight_Taunt;EliteKnight_Warcry,Sturdy,1,
Enemy_EliteMage,마법사 고블린,강력한 마법을 사용하는 고블린 마법사.,Mage,13,0,0,EliteMage_Fireball;EliteMage_Blizzard;EliteMage_Barrier;EliteMage_Drain,ArcaneFury,1,
Enemy_EliteDarkSlime,암흑 슬라임,어둠에 오염된 슬라임. 독과 저주를 사용합니다.,Warrior,15,0,0,DarkSlime_CorruptStrike;DarkSlime_PoisonCloud;DarkSlime_DarkShield;DarkSlime_Absorb,Corrosive,1,
Enemy_EliteGoblinShaman,고블린 주술사,강력한 주술을 사용하는 고블린 샤먼.,Mage,14,0,0,Shaman_Lightning;Shaman_HealRain;Shaman_BloodRitual;Shaman_Totem,PhaseShift,1,
Enemy_EliteSkeletonCaptain,해골 대장,해골 군단을 지휘하는 대장.,Warrior,18,0,0,Captain_Strike;Captain_ShieldWall;Captain_Warcry;Captain_BoneShield,Counter,1,
Enemy_EliteDemonMage,악마 마법사,지헥의 마법을 다루는 악마 마법사.,Mage,12,0,0,DemonMage_Hellfire;DemonMage_DarkPulse;DemonMage_CurseBarrier;DemonMage_SoulBurn,Thorns,1,
Enemy_BossVerdantTerror,심술궂은 나무정령,재생과 독으로 침입자를 고문하는 잿빛 숲의 수호자. HP 75%에서 소환, 50%에서 분열.,Warrior,40,0,0,BossVT_Strike;BossVT_PoisonBreath;BossVT_Regrow;BossVT_Roots,Regenerate,1,
Enemy_BossFrostMonarch,서리 군주,빙결과 쉴드로 행동을 얼려버리는 서리 고개의 지배자.,Mage,38,0,0,BossFM_IceLance;BossFM_FrostNova;BossFM_IceBarrier;BossFM_Chill,Sturdy,1,
Enemy_BossSandLeviathan,모래 리바이어던,은폐 후 한 방으로 덮치는 모래 평원의 포식자.,Rogue,33,0,0,BossSL_SandBlast;BossSL_Burrow;BossSL_Devour;BossSL_Quicksand,PhaseShift,1,
Enemy_BossBloodQueen,피의 여왕,흡혈로 채운 피를 다시 부활에 쓰는 혈련 예배당의 여왕.,Rogue,45,0,0,BossBQ_Bite;BossBQ_BloodSwarm;BossBQ_CrimsonRite;BossBQ_Mesmerize,Immortal,1,
Enemy_BossPlagueLord,역병 군주,독 구름으로 파티 전체를 부패시키는 늪의 군주.,Mage,49,0,0,BossPL_ToxicSlash;BossPL_PlagueCloud;BossPL_Festering;BossPL_Regurgitate,Corrosive,1,
Enemy_BossLichKing,리치 왕,저주와 영혼 찬탈로 언데드 군단을 지휘하는 유적의 왕.,Mage,44,0,0,BossLK_DeathBolt;BossLK_Curse;BossLK_SoulHarvest;BossLK_Phylactery,ArcaneFury,1,
Enemy_BossKraken,크라켄,촉수와 잉크로 쉴드를 압박하는 심연 해구의 거대 괴수.,Warrior,51,0,0,BossKr_Tentacle;BossKr_Whirlpool;BossKr_InkCloud;BossKr_Constrict,Sturdy,1,
Enemy_BossStormLord,폭풍 군주,연쇄 번개와 기절로 파티 행동을 차단하는 봉우리의 지배자.,Mage,47,0,0,BossSLo_Lightning;BossSLo_ChainBolt;BossSLo_ThunderStrike;BossSLo_StormAura,Counter,1,
Enemy_BossVoidWalker,공허의 행보자,은신과 회피 반격으로 예측을 배반하는 그림자 골짜기의 존재.,Rogue,45,0,0,BossVW_ShadowStrike;BossVW_PhaseShift;BossVW_VoidRend;BossVW_Drain,PhaseShift,1,
Enemy_BossFlameEmperor,염황제,화염 폭풍으로 전체 광역 데미지를 퍼붓는 불꽃왕좌의 황제.,Mage,56,0,0,BossFE_Inferno;BossFE_CrownOfFire;BossFE_Meteor;BossFE_FireBreath,Rampage,1,
Enemy_BossIceGoddess,빙결 여신,전체 빙결과 봉쇄로 파티를 영구 동토에 가두는 여신.,Mage,54,0,0,BossIG_Glacier;BossIG_AbsoluteZero;BossIG_FrostArmor;BossIG_WinterBlessing,ArcaneFury,1,
Enemy_BossArchdemon,대마왕,소환과 다중 페이즈로 최후의 시련을 주는 마왕성 심장의 군주.,Warrior,64,0,0,BossAD_Hellfire;BossAD_DarkPact;BossAD_LegionSummon;BossAD_Apocalypse,Immortal,1,
Enemy_AshwoodWisp,잿나무 정령,재생하는 작은 부패 식물 정령. 잡아도 HP가 차오른다.,Warrior,7,0,0,Wisp_Whip;Wisp_MoldSpore;Wisp_RegenLight;Wisp_Wobble,Regenerate,1,
Enemy_BlightbedCrawler,역병 침대 벌레,부패한 침상에서 기어 나온 독 벌레. 공격 시 독을 부여한다.,Rogue,5,0,0,Crawler_AcidSting;Crawler_ChokingSpray;Crawler_JawSnap;Crawler_Cling,Venomous,1,
Enemy_Mossbulwark,이끼 방패병,거대한 이끼 덩어리. 매 턴 자동 도발로 아군을 보호하는 탱커.,Warrior,12,0,0,Bulwark_BodySlam;Bulwark_MossShield;Bulwark_RegenNutrient;Bulwark_RootGrasp,Provoke,1,
Enemy_Sporecaller,포자 부르는 자,독버섯 마법사. 아군에게 재생을 부여하고 적에게 독을 뿌린다.,Mage,5,0,0,Sporecaller_GrowthSpurt;Sporecaller_MoldMist;Sporecaller_SporeBurst;Sporecaller_Headbutt,None,1,
Enemy_EliteWitherwarden,시든 수호자,오래된 잿나무가 변이된 재생+반사 엘리트. 장기전 금지.,Warrior,18,0,0,Wither_CorruptWhip;Wither_RegenRitual;Wither_Thornbark;Wither_RottenRoot,Regenerate,1,
Enemy_EliteCompostKing,퇴비 왕,죽은 유기물이 집적된 소환사 엘리트. 아군을 부활시킨다.,Mage,14,0,0,Compost_PlagueCloud;Compost_CorpseFeast;Compost_RotCurse;Compost_SporeStorm,Corpsebloom,1,
Enemy_BossVTLeftHalf,녹색 공포 - 왼쪽 분신,Verdant Terror의 왼쪽 분신. 독 특화.,Warrior,18,0,0,VTL_Whip;VTL_PoisonSpore;VTL_Regen;VTL_Roots,None,1,
Enemy_BossVTRightHalf,녹색 공포 - 오른쪽 분신,Verdant Terror의 오른쪽 분신. 재생 특화.,Warrior,18,0,0,VTR_Whip;VTR_PoisonSpore;VTR_Regrowth;VTR_Roots,Regenerate,1,
