enemyId,order,skillId,weight
Enemy_BossVoidWalker,1,BossVW_PhaseShift,25
Enemy_BossVoidWalker,2,BossVW_VoidRend,25
Enemy_BossVoidWalker,3,BossVW_Drain,20
Enemy_BossFlameEmperor,0,BossFE_Inferno,30
Enemy_BossFlameEmperor,1,BossFE_CrownOfFire,20
Enemy_BossFlameEmperor,2,BossFE_Meteor,25
Enemy_BossFlameEmperor,3,BossFE_FireBreath,25
Enemy_BossIceGoddess,0,BossIG_Glacier,30
Enemy_BossIceGoddess,1,BossIG_AbsoluteZero,25
Enemy_BossIceGoddess,2,BossIG_FrostArmor,20
Enemy_BossIceGoddess,3,BossIG_WinterBlessing,25
Enemy_BossArchdemon,0,BossAD_Hellfire,30
Enemy_BossArchdemon,1,BossAD_DarkPact,20
Enemy_BossArchdemon,2,BossAD_LegionSummon,20
Enemy_BossArchdemon,3,BossAD_Apocalypse,25
Enemy_Mummy,0,Mummy_Wrap,30
Enemy_Mummy,1,Mummy_Curse,25
Enemy_Mummy,2,Mummy_Bandage,20
Enemy_Mummy,3,Mummy_Sandstorm,25
Enemy_SkeletonArcher,0,Archer_Precision,30
Enemy_SkeletonArcher,1,Archer_PoisonArrow,25
Enemy_SkeletonArcher,2,Archer_Retreat,20
Enemy_SkeletonArcher,3,Archer_Aim,20
Enemy_Wraith,0,Wraith_Drain,30
Enemy_Wraith,1,Wraith_Chill,25
Enemy_Wraith,2,Wraith_Phase,20
Enemy_Wraith,3,Wraith_Wail,25
Enemy_Shadow,0,Shadow_Blade,30
Enemy_Shadow,1,Shadow_Smoke,20
Enemy_Shadow,2,Shadow_Hide,15
Enemy_Shadow,3,Shadow_Strike,25
Enemy_DemonSoldier,0,Demon_Sword,30
Enemy_DemonSoldier,1,Demon_FireSlash,25
Enemy_DemonSoldier,2,Demon_Shield,20
Enemy_DemonSoldier,3,Demon_Warcry,20
Enemy_Gargoyle,0,Gargoyle_Smash,30
Enemy_Gargoyle,1,Gargoyle_Spike,25
Enemy_Gargoyle,2,Gargoyle_StoneArmor,20
Enemy_Gargoyle,3,Gargoyle_PoisonGas,25
Enemy_EliteGoblinShaman,0,Shaman_Lightning,30
Enemy_EliteGoblinShaman,1,Shaman_HealRain,20
Enemy_EliteGoblinShaman,2,Shaman_BloodRitual,20
Enemy_EliteGoblinShaman,3,Shaman_Totem,20
Enemy_EliteSkeletonCaptain,0,Captain_Strike,30
Enemy_EliteSkeletonCaptain,1,Captain_ShieldWall,20
Enemy_EliteSkeletonCaptain,2,Captain_Warcry,20
Enemy_EliteSkeletonCaptain,3,Captain_BoneShield,20
Enemy_EliteDemonMage,0,DemonMage_Hellfire,30
Enemy_EliteDemonMage,1,DemonMage_DarkPulse,25
Enemy_EliteDemonMage,2,DemonMage_CurseBarrier,20
Enemy_EliteDemonMage,3,DemonMage_SoulBurn,25
